Event,Lat,Long,Date,Time,Report
Event 8187-2022,33.131260091997,-97.085120706906,2022-11-06,10:06 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8187
Event 8148-2022,28.445698047241,-80.210846641435,2022-11-06,03:34 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8148
Event 8167-2022,40.202763242687,-81.871870592971,2022-11-06,01:42 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8167
Event 8136-2022,40.007531117782,-82.320469842554,2022-11-06,01:20 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8136
Event 8137-2022,41.359656583699,-82.534480309073,2022-11-06,01:12 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8137
Event 8134-2022,26.698589137282,-81.639112597753,2022-11-06,01:02 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8134
Event 8103-2022,47.852837588069,-118.2485932818,2022-11-05,12:06 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8103
Event 8075-2022,40.557132313185,-120.50259868777,2022-11-05,04:52 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8075
Event 8074-2022,34.408778026481,-86.223433548327,2022-11-05,04:24 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8074
Event 8068-2022,38.087796900886,-122.9310378805,2022-11-05,03:14 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8068
Event 8060-2022,41.260766109459,-122.93334667436,2022-11-05,02:27 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8060
Event 8057-2022,40.136949816935,-79.184523072414,2022-11-05,01:25 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8057
Event 8052-2022,45.752359623774,-73.233592265627,2022-11-05,00:59 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8052
Event 8051-2022,32.10595039604,-89.001093208166,2022-11-05,00:34 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8051
Event 8014-2022,37.865357709084,-122.2287016882,2022-11-04,12:53 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8014
Event 8012-2022,50.069896543579,-96.483170813191,2022-11-04,11:32 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8012
Event 8004-2022,38.300839286429,-81.723891147778,2022-11-04,10:07 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8004
Event 8000-2022,43.930758555635,-71.270994651402,2022-11-04,09:32 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/8000
Event 7962-2022,33.426579701161,-85.328234289176,2022-11-04,04:29 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/7962
Event 7959-2022,44.704243645933,-75.108173395631,2022-11-04,02:54 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/7959
Event 7957-2022,19.947268457077,-79.705518127019,2022-11-04,02:44 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/7957
Event 7949-2022,40.399978641588,-78.613211025063,2022-11-04,02:14 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/7949
Event 7953-2022,34.402523098218,-84.622141185716,2022-11-04,01:27 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/7953
Event 7950-2022,40.83848099137,-72.09486297614,2022-11-04,01:15 UT,https://fireball.amsmeteors.org//members/imo_view/event/2022/7950
